timestamp,outcome1_cents,outcome1_decimal,outcome1_probability,outcome2_cents,outcome2_decimal,outcome2_probability,latency
2025-12-10 19:32:16.662,51,1.93,0.52,49,2.02,0.49,512
2025-12-10 19:32:17.743,51,1.93,0.52,49,2.02,0.49,539
2025-12-10 19:32:18.827,51,1.93,0.52,49,2.02,0.49,543
2025-12-10 19:32:19.875,51,1.93,0.52,49,2.02,0.49,507
2025-12-10 19:32:21.097,51,1.93,0.52,49,2.02,0.49,533
2025-12-10 19:32:22.159,51,1.93,0.52,49,2.02,0.49,519
2025-12-10 19:32:23.248,51,1.93,0.52,49,2.02,0.49,526
2025-12-10 19:32:27.307,51,1.93,0.52,49,2.02,0.49,569
2025-12-10 19:32:28.387,51,1.93,0.52,49,2.02,0.49,509
2025-12-10 19:32:29.534,51,1.93,0.52,49,2.02,0.49,580
2025-12-10 19:32:30.627,51,1.93,0.52,49,2.02,0.49,523
2025-12-10 19:32:31.828,51,1.93,0.52,49,2.02,0.49,623
2025-12-10 19:32:32.946,51,1.93,0.52,49,2.02,0.49,545
2025-12-10 19:32:34.090,51,1.93,0.52,49,2.02,0.49,521
2025-12-10 19:32:35.324,51,1.93,0.52,49,2.02,0.49,535
2025-12-10 19:32:36.739,51,1.93,0.52,49,2.02,0.49,799
2025-12-10 19:32:37.857,51,1.93,0.52,49,2.02,0.49,514
2025-12-10 19:32:39.053,51,1.93,0.52,49,2.02,0.49,595
2025-12-10 19:32:40.216,51,1.93,0.52,49,2.02,0.49,557
2025-12-10 19:32:42.314,51,1.93,0.52,49,2.02,0.49,505
2025-12-10 19:32:43.764,51,1.93,0.52,49,2.02,0.49,848
2025-12-10 19:32:44.891,51,1.93,0.52,49,2.02,0.49,545
2025-12-10 19:32:45.979,51,1.93,0.52,49,2.02,0.49,521
2025-12-10 19:32:47.118,51,1.93,0.52,49,2.02,0.49,509
2025-12-10 19:32:48.258,51,1.93,0.52,49,2.02,0.49,546
2025-12-10 19:32:49.420,51,1.93,0.52,49,2.02,0.49,534
2025-12-10 19:32:50.639,51,1.93,0.52,49,2.02,0.49,647
2025-12-10 19:32:51.767,51,1.93,0.52,49,2.02,0.49,501
2025-12-10 19:32:52.895,51,1.93,0.52,49,2.02,0.49,530
2025-12-10 19:32:58.276,51,1.93,0.52,49,2.02,0.49,535
2025-12-10 19:32:59.416,51,1.93,0.52,49,2.02,0.49,561
2025-12-10 19:33:00.553,51,1.93,0.52,49,2.02,0.49,550
2025-12-10 19:33:01.751,51,1.93,0.52,49,2.02,0.49,533
2025-12-10 19:33:02.896,51,1.93,0.52,49,2.02,0.49,553
2025-12-10 19:33:04.241,51,1.93,0.52,49,2.02,0.49,536
2025-12-10 19:33:05.582,51,1.93,0.52,49,2.02,0.49,523
2025-12-10 19:33:06.699,51,1.93,0.52,49,2.02,0.49,522
2025-12-10 19:33:07.850,51,1.93,0.52,49,2.02,0.49,536
2025-12-10 19:33:09.276,51,1.93,0.52,49,2.02,0.49,550
2025-12-10 19:33:10.699,51,1.93,0.52,49,2.02,0.49,540
2025-12-10 19:33:11.868,51,1.93,0.52,49,2.02,0.49,527
2025-12-10 19:33:13.039,51,1.93,0.52,49,2.02,0.49,527
2025-12-10 19:33:14.147,51,1.93,0.52,49,2.02,0.49,522
2025-12-10 19:33:15.303,51,1.93,0.52,49,2.02,0.49,543
2025-12-10 19:33:16.535,51,1.93,0.52,49,2.02,0.49,532
