timestamp,team_one_name,team_two_name,moneyline_team_one_maker_percent_odds,moneyline_team_one_taker_percent_odds,moneyline_team_two_maker_percent_odds,moneyline_team_two_taker_percent_odds,spread_1_5_outcome_one_maker_percent_odds,spread_1_5_outcome_one_taker_percent_odds,spread_1_5_outcome_two_maker_percent_odds,spread_1_5_outcome_two_taker_percent_odds,spread_neg1_5_outcome_one_maker_percent_odds,spread_neg1_5_outcome_one_taker_percent_odds,spread_neg1_5_outcome_two_maker_percent_odds,spread_neg1_5_outcome_two_taker_percent_odds,total_5_5_over_maker_percent_odds,total_5_5_over_taker_percent_odds,total_5_5_under_maker_percent_odds,total_5_5_under_taker_percent_odds,total_6_5_over_maker_percent_odds,total_6_5_over_taker_percent_odds,total_6_5_under_maker_percent_odds,total_6_5_under_taker_percent_odds
2025-12-11T01:43:26.047358,Calgary Flames,Detroit Red Wings,48.88,51.12,50.38,49.62,,,,,,,,,,,,,,,,
2025-12-11T01:43:26.047358,Calgary Flames,Detroit Red Wings,,,,,,,,,24.25,75.75,69.0,31.0,,,,,,,,
2025-12-11T01:43:26.047358,Calgary Flames,Detroit Red Wings,,,,,,,,,,,,,54.87,45.13,43.25,56.75,,,,
2025-12-11T01:43:26.047358,Calgary Flames,Detroit Red Wings,,,,,69.38,30.63,26.88,73.12,,,,,,,,,,,,
2025-12-11T01:43:26.047358,Calgary Flames,Detroit Red Wings,,,,,,,,,,,,,,,,,44.12,55.88,55.0,45.0
2025-12-11T01:43:31.411475,Calgary Flames,Detroit Red Wings,48.88,51.12,50.38,49.62,,,,,,,,,,,,,,,,
2025-12-11T01:43:31.411475,Calgary Flames,Detroit Red Wings,,,,,,,,,24.25,75.75,69.0,31.0,,,,,,,,
2025-12-11T01:43:31.411475,Calgary Flames,Detroit Red Wings,,,,,,,,,,,,,54.87,45.13,43.25,56.75,,,,
2025-12-11T01:43:31.411475,Calgary Flames,Detroit Red Wings,,,,,69.38,30.63,26.88,73.12,,,,,,,,,,,,
2025-12-11T01:43:31.411475,Calgary Flames,Detroit Red Wings,,,,,,,,,,,,,,,,,44.12,55.88,55.0,45.0
2025-12-11T01:43:35.348872,Calgary Flames,Detroit Red Wings,48.88,51.12,50.38,49.62,,,,,,,,,,,,,,,,
2025-12-11T01:43:35.348872,Calgary Flames,Detroit Red Wings,,,,,,,,,24.25,75.75,69.0,31.0,,,,,,,,
2025-12-11T01:43:35.348872,Calgary Flames,Detroit Red Wings,,,,,,,,,,,,,54.87,45.13,43.25,56.75,,,,
2025-12-11T01:43:35.348872,Calgary Flames,Detroit Red Wings,,,,,69.38,30.63,26.88,73.12,,,,,,,,,,,,
2025-12-11T01:43:35.348872,Calgary Flames,Detroit Red Wings,,,,,,,,,,,,,,,,,44.12,55.88,55.0,45.0
2025-12-11T01:43:40.101246,Calgary Flames,Detroit Red Wings,48.88,51.12,50.38,49.62,,,,,,,,,,,,,,,,
2025-12-11T01:43:40.101246,Calgary Flames,Detroit Red Wings,,,,,,,,,24.25,75.75,69.0,31.0,,,,,,,,
2025-12-11T01:43:40.101246,Calgary Flames,Detroit Red Wings,,,,,,,,,,,,,54.87,45.13,43.25,56.75,,,,
