timestamp,rangers_cents,rangers_decimal,rangers_probability,blackhawks_cents,blackhawks_decimal,blackhawks_probability,latency_ms
2025-12-10 20:18:37.809,59,1.69,0.59,45,2.20,0.45,459
2025-12-10 20:18:38.754,59,1.69,0.59,45,2.20,0.45,442
2025-12-10 20:18:39.709,59,1.69,0.59,45,2.20,0.45,449
2025-12-10 20:18:40.657,59,1.69,0.59,45,2.20,0.45,442
2025-12-10 20:18:41.604,59,1.69,0.59,45,2.20,0.45,437
2025-12-10 20:18:42.538,59,1.69,0.59,45,2.20,0.45,428
2025-12-10 20:18:43.484,59,1.69,0.59,45,2.20,0.45,442
2025-12-10 20:18:44.423,59,1.69,0.59,45,2.20,0.45,436
2025-12-10 20:18:45.424,59,1.69,0.59,45,2.20,0.45,494
2025-12-10 20:18:46.354,59,1.69,0.59,45,2.20,0.45,428
2025-12-10 20:18:47.355,59,1.69,0.59,45,2.20,0.45,481
2025-12-10 20:18:48.320,59,1.69,0.59,45,2.20,0.45,461
2025-12-10 20:18:49.243,59,1.69,0.59,45,2.20,0.45,422
2025-12-10 20:18:50.187,59,1.69,0.59,45,2.20,0.45,439
2025-12-10 20:18:51.137,59,1.69,0.59,45,2.20,0.45,444
2025-12-10 20:18:52.106,59,1.69,0.59,45,2.20,0.45,463
2025-12-10 20:18:53.039,59,1.69,0.59,45,2.20,0.45,428
2025-12-10 20:18:54.072,59,1.69,0.59,45,2.20,0.45,440
2025-12-10 20:18:55.065,59,1.69,0.59,45,2.20,0.45,491
2025-12-10 20:18:56.071,59,1.69,0.59,45,2.20,0.45,500
2025-12-10 20:18:57.004,59,1.69,0.59,45,2.20,0.45,428
2025-12-10 20:18:57.930,59,1.69,0.59,45,2.20,0.45,420
2025-12-10 20:18:58.865,59,1.69,0.59,45,2.20,0.45,432
2025-12-10 20:18:59.813,59,1.69,0.59,45,2.20,0.45,442
2025-12-10 20:19:00.774,59,1.69,0.59,45,2.20,0.45,454
2025-12-10 20:19:01.753,59,1.69,0.59,45,2.20,0.45,473
2025-12-10 20:19:02.711,59,1.69,0.59,45,2.20,0.45,453
2025-12-10 20:19:03.679,59,1.69,0.59,45,2.20,0.45,467
2025-12-10 20:19:04.630,59,1.69,0.59,45,2.20,0.45,446
2025-12-10 20:19:05.557,59,1.69,0.59,45,2.20,0.45,422
2025-12-10 20:19:06.510,59,1.69,0.59,45,2.20,0.45,450
2025-12-10 20:19:07.477,59,1.69,0.59,45,2.20,0.45,461
2025-12-10 20:19:08.410,59,1.69,0.59,45,2.20,0.45,427
2025-12-10 20:19:09.369,59,1.69,0.59,45,2.20,0.45,456
2025-12-10 20:19:10.305,59,1.69,0.59,45,2.20,0.45,432
2025-12-10 20:19:11.255,59,1.69,0.59,45,2.20,0.45,447
2025-12-10 20:19:12.202,59,1.69,0.59,45,2.20,0.45,441
2025-12-10 20:19:13.144,59,1.69,0.59,45,2.20,0.45,436
2025-12-10 20:19:14.074,59,1.69,0.59,45,2.20,0.45,428
2025-12-10 20:19:15.023,59,1.69,0.59,45,2.20,0.45,444
2025-12-10 20:19:15.953,59,1.69,0.59,45,2.20,0.45,424
2025-12-10 20:19:16.895,59,1.69,0.59,45,2.20,0.45,440
2025-12-10 20:19:17.911,59,1.69,0.59,45,2.20,0.45,510
2025-12-10 20:19:18.910,59,1.69,0.59,45,2.20,0.45,479
2025-12-10 20:19:19.825,59,1.69,0.59,45,2.20,0.45,413
2025-12-10 20:19:20.800,59,1.69,0.59,45,2.20,0.45,463
2025-12-10 20:19:21.727,59,1.69,0.59,45,2.20,0.45,422
2025-12-10 20:19:22.670,59,1.69,0.59,45,2.20,0.45,438
2025-12-10 20:19:23.599,59,1.69,0.59,45,2.20,0.45,422
2025-12-10 20:19:24.540,59,1.69,0.59,45,2.20,0.45,437
2025-12-10 20:19:25.500,59,1.69,0.59,45,2.20,0.45,457
2025-12-10 20:19:26.493,59,1.69,0.59,45,2.20,0.45,490
2025-12-10 20:19:27.431,59,1.69,0.59,45,2.20,0.45,436
2025-12-10 20:19:28.377,59,1.69,0.59,45,2.20,0.45,441
2025-12-10 20:19:29.392,59,1.69,0.59,45,2.20,0.45,511
2025-12-10 20:19:30.345,59,1.69,0.59,45,2.20,0.45,452
2025-12-10 20:19:31.336,59,1.69,0.59,45,2.20,0.45,485
2025-12-10 20:19:32.279,59,1.69,0.59,45,2.20,0.45,438
2025-12-10 20:19:33.243,59,1.69,0.59,45,2.20,0.45,460
2025-12-10 20:19:34.183,59,1.69,0.59,45,2.20,0.45,438
2025-12-10 20:19:35.140,59,1.69,0.59,45,2.20,0.45,451
2025-12-10 20:19:36.117,59,1.69,0.59,45,2.20,0.45,475
2025-12-10 20:19:37.085,59,1.69,0.59,45,2.20,0.45,463
2025-12-10 20:19:38.042,59,1.69,0.59,45,2.20,0.45,451
2025-12-10 20:19:38.989,59,1.69,0.59,45,2.20,0.45,442
2025-12-10 20:19:39.920,59,1.69,0.59,45,2.20,0.45,425
2025-12-10 20:19:40.880,59,1.69,0.59,45,2.20,0.45,457
2025-12-10 20:19:41.831,59,1.69,0.59,45,2.20,0.45,442
2025-12-10 20:19:42.766,59,1.69,0.59,45,2.20,0.45,434
2025-12-10 20:19:43.707,59,1.69,0.59,45,2.20,0.45,438
2025-12-10 20:19:44.690,59,1.69,0.59,45,2.20,0.45,477
2025-12-10 20:19:45.665,59,1.69,0.59,45,2.20,0.45,470
2025-12-10 20:19:46.629,59,1.69,0.59,45,2.20,0.45,458
2025-12-10 20:19:47.617,59,1.69,0.59,45,2.20,0.45,444
2025-12-10 20:19:48.569,59,1.69,0.59,45,2.20,0.45,449
2025-12-10 20:19:49.513,59,1.69,0.59,45,2.20,0.45,439
2025-12-10 20:19:50.494,59,1.69,0.59,45,2.20,0.45,462
2025-12-10 20:19:51.434,59,1.69,0.59,45,2.20,0.45,435
2025-12-10 20:19:52.402,59,1.69,0.59,45,2.20,0.45,462
2025-12-10 20:19:53.341,59,1.69,0.59,45,2.20,0.45,434
2025-12-10 20:19:54.279,59,1.69,0.59,45,2.20,0.45,433
2025-12-10 20:19:55.225,59,1.69,0.59,45,2.20,0.45,441
2025-12-10 20:19:56.173,59,1.69,0.59,45,2.20,0.45,442
2025-12-10 20:19:57.092,59,1.69,0.59,45,2.20,0.45,418
2025-12-10 20:19:58.020,59,1.69,0.59,45,2.20,0.45,423
2025-12-10 20:19:58.939,59,1.69,0.59,45,2.20,0.45,416
2025-12-10 20:19:59.875,59,1.69,0.59,45,2.20,0.45,430
2025-12-10 20:20:00.851,59,1.69,0.59,45,2.20,0.45,468
2025-12-10 20:20:01.778,59,1.69,0.59,45,2.20,0.45,422
2025-12-10 20:20:02.766,59,1.69,0.59,45,2.20,0.45,479
2025-12-10 20:20:03.708,59,1.69,0.59,45,2.20,0.45,439
2025-12-10 20:20:04.663,59,1.69,0.59,45,2.20,0.45,449
2025-12-10 20:20:05.635,59,1.69,0.59,45,2.20,0.45,466
2025-12-10 20:20:06.581,59,1.69,0.59,45,2.20,0.45,439
2025-12-10 20:20:07.528,59,1.69,0.59,45,2.20,0.45,442
2025-12-10 20:20:08.495,59,1.69,0.59,45,2.20,0.45,460
2025-12-10 20:20:09.453,59,1.69,0.59,45,2.20,0.45,453
2025-12-10 20:20:10.413,59,1.69,0.59,45,2.20,0.45,459
2025-12-10 20:20:11.368,59,1.69,0.59,45,2.20,0.45,450
2025-12-10 20:20:12.337,59,1.69,0.59,45,2.20,0.45,463
2025-12-10 20:20:13.301,59,1.69,0.59,45,2.20,0.45,459
2025-12-10 20:20:14.259,59,1.69,0.59,45,2.20,0.45,456
2025-12-10 20:20:15.188,59,1.69,0.59,45,2.20,0.45,423
2025-12-10 20:20:16.125,59,1.69,0.59,45,2.20,0.45,431
2025-12-10 20:20:17.081,59,1.69,0.59,45,2.20,0.45,450
2025-12-10 20:20:18.093,59,1.69,0.59,45,2.20,0.45,459
2025-12-10 20:20:19.041,59,1.69,0.59,45,2.20,0.45,443
2025-12-10 20:20:19.983,59,1.69,0.59,45,2.20,0.45,439
2025-12-10 20:20:20.921,59,1.69,0.59,45,2.20,0.45,432
2025-12-10 20:20:21.874,59,1.69,0.59,45,2.20,0.45,449
2025-12-10 20:20:22.793,59,1.69,0.59,45,2.20,0.45,418
2025-12-10 20:20:23.879,59,1.69,0.59,45,2.20,0.45,432
2025-12-10 20:20:24.816,59,1.69,0.59,45,2.20,0.45,434
2025-12-10 20:20:25.752,59,1.69,0.59,45,2.20,0.45,434
2025-12-10 20:20:26.677,59,1.69,0.59,45,2.20,0.45,420
2025-12-10 20:20:27.598,59,1.69,0.59,45,2.20,0.45,415
2025-12-10 20:20:28.585,59,1.69,0.59,45,2.20,0.45,481
2025-12-10 20:20:29.629,59,1.69,0.59,45,2.20,0.45,536
2025-12-10 20:20:30.581,59,1.69,0.59,45,2.20,0.45,452
2025-12-10 20:20:31.622,59,1.69,0.59,45,2.20,0.45,498
2025-12-10 20:20:32.625,59,1.69,0.59,45,2.20,0.45,497
2025-12-10 20:20:33.576,59,1.69,0.59,45,2.20,0.45,446
2025-12-10 20:20:34.528,59,1.69,0.59,45,2.20,0.45,446
2025-12-10 20:20:35.497,59,1.69,0.59,45,2.20,0.45,466
2025-12-10 20:20:36.425,59,1.69,0.59,45,2.20,0.45,423
2025-12-10 20:20:37.407,59,1.69,0.59,45,2.20,0.45,456
2025-12-10 20:20:38.361,59,1.69,0.59,45,2.20,0.45,448
2025-12-10 20:20:39.301,59,1.69,0.59,45,2.20,0.45,438
2025-12-10 20:20:40.243,59,1.69,0.59,45,2.20,0.45,439
2025-12-10 20:20:41.187,59,1.69,0.59,45,2.20,0.45,438
2025-12-10 20:20:42.148,59,1.69,0.59,45,2.20,0.45,455
2025-12-10 20:20:43.152,59,1.69,0.59,45,2.20,0.45,451
2025-12-10 20:20:44.110,59,1.69,0.59,45,2.20,0.45,455
2025-12-10 20:20:45.158,59,1.69,0.59,45,2.20,0.45,543
2025-12-10 20:20:46.110,59,1.69,0.59,45,2.20,0.45,447
2025-12-10 20:20:47.083,59,1.69,0.59,45,2.20,0.45,467
2025-12-10 20:20:48.087,59,1.69,0.59,45,2.20,0.45,498
2025-12-10 20:20:49.036,59,1.69,0.59,45,2.20,0.45,432
2025-12-10 20:20:49.983,59,1.69,0.59,45,2.20,0.45,441
2025-12-10 20:20:50.909,59,1.69,0.59,45,2.20,0.45,424
2025-12-10 20:20:51.867,59,1.69,0.59,45,2.20,0.45,452
2025-12-10 20:20:52.799,59,1.69,0.59,45,2.20,0.45,426
2025-12-10 20:20:53.755,59,1.69,0.59,45,2.20,0.45,451
2025-12-10 20:20:54.702,59,1.69,0.59,45,2.20,0.45,433
2025-12-10 20:20:55.634,59,1.69,0.59,45,2.20,0.45,427
2025-12-10 20:20:56.575,59,1.69,0.59,45,2.20,0.45,437
2025-12-10 20:20:57.515,59,1.69,0.59,45,2.20,0.45,434
2025-12-10 20:20:58.447,59,1.69,0.59,45,2.20,0.45,431
2025-12-10 20:20:59.402,59,1.69,0.59,45,2.20,0.45,449
2025-12-10 20:21:00.429,59,1.69,0.59,45,2.20,0.45,475
2025-12-10 20:21:01.369,59,1.69,0.59,45,2.20,0.45,435
2025-12-10 20:21:02.409,59,1.69,0.59,45,2.20,0.45,534
2025-12-10 20:21:03.382,59,1.69,0.59,45,2.20,0.45,467
2025-12-10 20:21:04.326,59,1.69,0.59,45,2.20,0.45,442
2025-12-10 20:21:05.337,59,1.69,0.59,45,2.20,0.45,501
2025-12-10 20:21:06.324,59,1.69,0.59,45,2.20,0.45,449
2025-12-10 20:21:07.288,59,1.69,0.59,45,2.20,0.45,462
2025-12-10 20:21:08.254,59,1.69,0.59,45,2.20,0.45,460
2025-12-10 20:21:09.213,59,1.69,0.59,45,2.20,0.45,453
2025-12-10 20:21:10.153,59,1.69,0.59,45,2.20,0.45,439
2025-12-10 20:21:11.093,59,1.69,0.59,45,2.20,0.45,438
2025-12-10 20:21:12.031,59,1.69,0.59,45,2.20,0.45,428
2025-12-10 20:21:12.966,59,1.69,0.59,45,2.20,0.45,431
2025-12-10 20:21:13.906,59,1.69,0.59,45,2.20,0.45,434
2025-12-10 20:21:14.860,59,1.69,0.59,45,2.20,0.45,448
2025-12-10 20:21:15.789,59,1.69,0.59,45,2.20,0.45,428
2025-12-10 20:21:16.727,59,1.69,0.59,45,2.20,0.45,433
