timestamp,team_one_name,team_two_name,moneyline_team_one_maker_percent_odds,moneyline_team_one_taker_percent_odds,moneyline_team_two_maker_percent_odds,moneyline_team_two_taker_percent_odds,spread_1_5_outcome_one_maker_percent_odds,spread_1_5_outcome_one_taker_percent_odds,spread_1_5_outcome_two_maker_percent_odds,spread_1_5_outcome_two_taker_percent_odds,total_5_5_over_maker_percent_odds,total_5_5_over_taker_percent_odds,total_5_5_under_maker_percent_odds,total_5_5_under_taker_percent_odds,total_6_5_over_maker_percent_odds,total_6_5_over_taker_percent_odds,total_6_5_under_maker_percent_odds,total_6_5_under_taker_percent_odds
2025-12-11T01:46:29.874402,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:46:29.874402,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:46:29.874402,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:46:29.874402,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:46:33.639879,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:46:33.639879,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:46:33.639879,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:46:33.639879,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:46:37.323507,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:46:37.323507,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:46:37.323507,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:46:37.323507,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:46:41.371451,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:46:41.371451,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:46:41.371451,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:46:41.371451,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:46:45.292119,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:46:45.292119,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:46:45.292119,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:46:45.292119,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:46:48.970927,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:46:48.970927,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:46:48.970927,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:46:48.970927,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:46:52.652726,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:46:52.652726,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:46:52.652726,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:46:52.652726,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:46:56.322260,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:46:56.322260,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:46:56.322260,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:46:56.322260,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:00.057702,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:00.057702,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:00.057702,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:00.057702,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:03.828790,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:03.828790,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:03.828790,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:03.828790,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:07.503793,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:07.503793,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:07.503793,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:07.503793,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:11.205047,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:11.205047,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:11.205047,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:11.205047,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:15.047821,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:15.047821,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:15.047821,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:15.047821,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:18.798868,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:18.798868,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:18.798868,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:18.798868,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:22.504771,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:22.504771,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:22.504771,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:22.504771,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:26.174366,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:26.174366,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:26.174366,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:26.174366,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:29.877493,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:29.877493,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:29.877493,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:29.877493,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:33.550010,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:33.550010,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:33.550010,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:33.550010,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:37.217439,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:37.217439,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:37.217439,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:37.217439,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:40.891370,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:40.891370,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:40.891370,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:40.891370,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:44.632127,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:44.632127,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:44.632127,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:44.632127,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:48.315497,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:48.315497,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:48.315497,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:48.315497,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:51.987029,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:51.987029,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:51.987029,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:51.987029,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:55.869740,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:55.869740,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:55.869740,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:55.869740,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:47:59.593135,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:47:59.593135,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:47:59.593135,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:47:59.593135,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
2025-12-11T01:48:03.266795,Chicago Blackhawks,New York Rangers,42.62,57.38,56.75,43.25,,,,,,,,,,,,
2025-12-11T01:48:03.266795,Chicago Blackhawks,New York Rangers,,,,,,,,,52.5,47.5,45.5,54.5,,,,
2025-12-11T01:48:03.266795,Chicago Blackhawks,New York Rangers,,,,,64.0,36.0,32.75,67.25,,,,,,,,
2025-12-11T01:48:03.266795,Chicago Blackhawks,New York Rangers,,,,,,,,,,,,,41.75,58.25,56.88,43.12
