timestamp,tulane_cents,tulane_decimal,tulane_probability,northtexas_cents,northtexas_decimal,northtexas_probability,latency_ms
2025-12-05 19:06:00.976,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:06:02.016,60,1.68,0.60,49,2.05,0.49,536
2025-12-05 19:06:03.072,60,1.68,0.60,49,2.05,0.49,554
2025-12-05 19:06:04.110,60,1.68,0.60,49,2.05,0.49,533
2025-12-05 19:06:05.176,60,1.68,0.60,49,2.05,0.49,561
2025-12-05 19:06:06.243,60,1.68,0.60,49,2.05,0.49,561
2025-12-05 19:06:07.365,60,1.68,0.60,49,2.05,0.49,616
2025-12-05 19:06:08.432,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:06:09.479,60,1.68,0.60,49,2.05,0.49,541
2025-12-05 19:06:10.523,60,1.68,0.60,49,2.05,0.49,537
2025-12-05 19:06:11.562,60,1.68,0.60,49,2.05,0.49,534
2025-12-05 19:06:12.670,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:06:13.727,60,1.68,0.60,49,2.05,0.49,551
2025-12-05 19:06:14.768,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:06:15.806,60,1.68,0.60,49,2.05,0.49,533
2025-12-05 19:06:16.856,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:06:17.906,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:06:18.951,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:06:20.000,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:06:21.044,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:06:22.093,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:06:23.145,60,1.68,0.60,49,2.05,0.49,551
2025-12-05 19:06:24.190,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:06:25.240,60,1.68,0.60,49,2.05,0.49,534
2025-12-05 19:06:26.291,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:06:27.342,60,1.68,0.60,49,2.05,0.49,545
2025-12-05 19:06:28.431,60,1.68,0.60,49,2.05,0.49,584
2025-12-05 19:06:29.471,60,1.68,0.60,49,2.05,0.49,534
2025-12-05 19:06:30.567,60,1.68,0.60,49,2.05,0.49,587
2025-12-05 19:06:31.611,60,1.68,0.60,49,2.05,0.49,538
2025-12-05 19:06:32.657,60,1.68,0.60,49,2.05,0.49,541
2025-12-05 19:06:33.691,60,1.68,0.60,49,2.05,0.49,529
2025-12-05 19:06:34.740,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:06:35.785,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:06:36.863,60,1.68,0.60,49,2.05,0.49,575
2025-12-05 19:06:37.923,60,1.68,0.60,49,2.05,0.49,554
2025-12-05 19:06:38.991,60,1.68,0.60,49,2.05,0.49,562
