timestamp,outcome1_cents,outcome1_decimal,outcome1_probability,outcome2_cents,outcome2_decimal,outcome2_probability,latency
2025-12-06 00:29:47.860,45,2.18,0.46,54,1.82,0.55,587
2025-12-06 00:29:49.007,45,2.18,0.46,54,1.82,0.55,637
2025-12-06 00:29:50.108,45,2.18,0.46,54,1.82,0.55,593
2025-12-06 00:29:51.219,45,2.18,0.46,54,1.82,0.55,604
2025-12-06 00:29:52.345,45,2.18,0.46,54,1.82,0.55,614
2025-12-06 00:29:53.499,45,2.18,0.46,54,1.82,0.55,647
2025-12-06 00:29:54.777,45,2.18,0.46,54,1.82,0.55,592
2025-12-06 00:29:55.921,45,2.18,0.46,54,1.82,0.55,628
2025-12-06 00:29:57.025,45,2.18,0.46,54,1.82,0.55,592
2025-12-06 00:29:58.170,45,2.18,0.46,54,1.82,0.55,639
2025-12-06 00:29:59.267,45,2.18,0.46,54,1.82,0.55,591
2025-12-06 00:30:00.600,45,2.18,0.46,54,1.82,0.55,619
2025-12-06 00:30:01.747,45,2.18,0.46,54,1.82,0.55,620
2025-12-06 00:30:02.926,45,2.18,0.46,54,1.82,0.55,671
2025-12-06 00:30:04.078,45,2.18,0.46,54,1.82,0.55,647
2025-12-06 00:30:05.230,45,2.18,0.46,54,1.82,0.55,642
2025-12-06 00:30:07.409,45,2.18,0.46,54,1.82,0.55,707
2025-12-06 00:30:08.758,45,2.18,0.46,54,1.82,0.55,614
2025-12-06 00:30:09.912,45,2.18,0.46,54,1.82,0.55,640
2025-12-06 00:30:11.030,45,2.18,0.46,54,1.82,0.55,609
2025-12-06 00:30:12.698,45,2.18,0.46,54,1.82,0.55,587
2025-12-06 00:30:13.867,45,2.18,0.46,54,1.82,0.55,664
2025-12-06 00:30:15.040,45,2.18,0.46,54,1.82,0.55,664
2025-12-06 00:30:16.186,45,2.18,0.46,54,1.82,0.55,639
2025-12-06 00:30:17.305,45,2.18,0.46,54,1.82,0.55,613
2025-12-06 00:30:19.291,45,2.18,0.46,54,1.82,0.55,593
2025-12-06 00:30:20.415,45,2.18,0.46,54,1.82,0.55,615
2025-12-06 00:30:21.529,45,2.18,0.46,54,1.82,0.55,609
2025-12-06 00:30:22.635,45,2.18,0.46,54,1.82,0.55,599
2025-12-06 00:30:23.742,45,2.18,0.46,54,1.82,0.55,597
2025-12-06 00:30:25.531,45,2.18,0.46,54,1.82,0.55,653
2025-12-06 00:30:26.643,45,2.18,0.46,54,1.82,0.55,603
2025-12-06 00:30:27.756,45,2.18,0.46,54,1.82,0.55,608
2025-12-06 00:30:28.864,45,2.18,0.46,54,1.82,0.55,596
2025-12-06 00:30:30.009,45,2.18,0.46,54,1.82,0.55,610
2025-12-06 00:30:31.601,45,2.18,0.46,54,1.82,0.55,611
2025-12-06 00:30:32.711,45,2.18,0.46,54,1.82,0.55,600
2025-12-06 00:30:33.821,45,2.18,0.46,54,1.82,0.55,601
2025-12-06 00:30:34.966,45,2.18,0.46,54,1.82,0.55,615
2025-12-06 00:30:36.094,45,2.18,0.46,54,1.82,0.55,602
2025-12-06 00:30:37.807,45,2.18,0.46,54,1.82,0.55,632
2025-12-06 00:30:39.149,45,2.18,0.46,54,1.82,0.55,822
2025-12-06 00:30:40.271,45,2.18,0.46,54,1.82,0.55,612
2025-12-06 00:30:41.372,45,2.18,0.46,54,1.82,0.55,592
2025-12-06 00:30:42.785,45,2.18,0.46,54,1.82,0.55,610
2025-12-06 00:30:44.283,45,2.18,0.46,54,1.82,0.55,625
2025-12-06 00:30:45.402,45,2.18,0.46,54,1.82,0.55,607
2025-12-06 00:30:46.506,45,2.18,0.46,54,1.82,0.55,597
2025-12-06 00:30:48.094,45,2.18,0.46,54,1.82,0.55,684
2025-12-06 00:30:49.216,45,2.18,0.46,54,1.82,0.55,608
2025-12-06 00:30:50.342,45,2.18,0.46,54,1.82,0.55,618
2025-12-06 00:30:51.458,45,2.18,0.46,54,1.82,0.55,594
2025-12-06 00:30:52.769,45,2.18,0.46,54,1.82,0.55,787
2025-12-06 00:30:54.074,45,2.18,0.46,54,1.82,0.55,600
2025-12-06 00:30:55.961,45,2.18,0.46,54,1.82,0.55,935
2025-12-06 00:30:57.080,45,2.18,0.46,54,1.82,0.55,598
2025-12-06 00:30:58.192,45,2.18,0.46,54,1.82,0.55,603
2025-12-06 00:30:59.660,45,2.18,0.46,54,1.82,0.55,583
2025-12-06 00:31:01.062,45,2.18,0.46,54,1.82,0.55,622
2025-12-06 00:31:02.185,45,2.18,0.46,54,1.82,0.55,609
2025-12-06 00:31:03.371,45,2.18,0.46,54,1.82,0.55,608
2025-12-06 00:31:04.516,45,2.18,0.46,54,1.82,0.55,620
2025-12-06 00:31:05.852,45,2.18,0.46,54,1.82,0.55,613
2025-12-06 00:31:07.355,45,2.18,0.46,54,1.82,0.55,705
2025-12-06 00:31:08.781,45,2.18,0.46,54,1.82,0.55,591
2025-12-06 00:31:10.124,45,2.18,0.46,54,1.82,0.55,608
