timestamp,outcome1_cents,outcome1_decimal,outcome1_probability,outcome2_cents,outcome2_decimal,outcome2_probability,latency
2025-12-08 02:31:06.521,65,1.52,0.66,34,2.90,0.34,931
2025-12-08 02:31:07.960,65,1.52,0.66,34,2.90,0.34,833
2025-12-08 02:31:09.407,65,1.52,0.66,34,2.90,0.34,844
2025-12-08 02:31:10.887,65,1.52,0.66,34,2.90,0.34,860
2025-12-08 02:31:14.339,65,1.52,0.66,34,2.90,0.34,2828
2025-12-08 02:31:18.503,65,1.52,0.66,34,2.90,0.34,2035
2025-12-08 02:31:21.228,65,1.52,0.66,34,2.90,0.34,2074
2025-12-08 02:31:24.326,65,1.52,0.66,34,2.90,0.34,1168
2025-12-08 02:31:25.837,65,1.52,0.66,34,2.90,0.34,826
2025-12-08 02:31:27.438,65,1.52,0.66,34,2.90,0.34,942
2025-12-08 02:31:30.024,65,1.52,0.66,34,2.90,0.34,936
2025-12-08 02:31:31.520,65,1.52,0.66,34,2.90,0.34,831
2025-12-08 02:31:34.995,65,1.52,0.66,34,2.90,0.34,2847
2025-12-08 02:31:37.580,65,1.52,0.66,34,2.90,0.34,1961
2025-12-08 02:31:40.739,65,1.52,0.66,34,2.90,0.34,2537
2025-12-08 02:31:42.345,65,1.52,0.66,34,2.90,0.34,997
2025-12-08 02:31:44.845,65,1.52,0.66,34,2.90,0.34,1891
2025-12-08 02:31:47.281,65,1.52,0.66,34,2.90,0.34,1812
2025-12-08 02:31:48.763,65,1.52,0.66,34,2.90,0.34,870
2025-12-08 02:31:50.211,65,1.52,0.66,34,2.90,0.34,826
2025-12-08 02:31:52.754,65,1.52,0.66,34,2.90,0.34,1913
2025-12-08 02:31:55.345,65,1.52,0.66,34,2.90,0.34,1947
2025-12-08 02:31:56.833,65,1.52,0.66,34,2.90,0.34,854
2025-12-08 02:31:58.271,65,1.52,0.66,34,2.90,0.34,821
2025-12-08 02:32:00.974,65,1.52,0.66,34,2.90,0.34,2076
2025-12-08 02:32:02.504,65,1.52,0.66,34,2.90,0.34,894
2025-12-08 02:32:05.150,65,1.52,0.66,34,2.90,0.34,1988
2025-12-08 02:32:06.637,65,1.52,0.66,34,2.90,0.34,859
2025-12-08 02:32:08.122,65,1.52,0.66,34,2.90,0.34,866
2025-12-08 02:32:10.613,65,1.52,0.66,34,2.90,0.34,1865
2025-12-08 02:32:12.079,65,1.52,0.66,34,2.90,0.34,826
2025-12-08 02:32:14.741,65,1.52,0.66,34,2.90,0.34,881
2025-12-08 02:32:18.106,65,1.52,0.66,34,2.90,0.34,2629
2025-12-08 02:32:19.588,65,1.52,0.66,34,2.90,0.34,867
2025-12-08 02:32:21.065,65,1.52,0.66,34,2.90,0.34,854
2025-12-08 02:32:23.464,65,1.52,0.66,34,2.90,0.34,811
